Ticker,銘柄名
1301,P: 極洋
130A,G: Veritas In Silico
1332,P: ニッスイ
1333,P: マルハニチロ
135A,G: VRAIN Solution
1375,P: 雪国まいたけ
1376,S: カネコ種苗
1377,P: サカタのタネ
1379,P: ホクト
137A,G: Cocolive
1380,S: 秋川牧園
1381,S: アクシーズ
1382,S: ホーブ
1383,S: ベルグアース
1384,S: ホクリヨウ
138A,G: 光フードサービス
1401,G: エムビーエス
1407,S: ウエストホールディングス
1414,P: ショーボンドホールディングス
1417,P: ミライト・ワン
1418,S: インターライフホールディングス
1419,P: タマホーム
141A,G: トライアルホールディングス
1420,S: サンヨーホームズ
1429,P: 日本アクア
142A,G: ジンジブ
1430,S: ファーストコーポレーション
1431,G: Lib Work
1433,P: ベステラ
1434,S: JESCOホールディングス
1435,S: robot home
1436,G: グリーンエナジー＆カンパニー
1438,S: 岐阜造園
1439,S: 安江工務店
143A,G: イシン
1443,S: 技研ホールディングス
1444,G: ニッソウ
1446,S: キャンディル
1447,G: SAAFホールディングス
1450,S: 田中建設工業
145A,G: L is B
146A,S: コロンビア・ワークス
147A,G: ソラコム
148A,G: ハッチ・ワーク
1491,S: 中外鉱業
149A,G: シンカ
150A,G: JSH
1514,S: 住石ホールディングス
1515,P: 日鉄鉱業
1518,P: 三井松島ホールディングス
151A,G: ダイブ
153A,G: カウリス
155A,G: 情報戦略テクノロジー
156A,G: マテリアルグループ
157A,G: グリーンモンスター
1605,P: INPEX
160A,S: アズパートナーズ
165A,G: SBIレオスひふみ
1662,P: 石油資源開発
1663,P: K＆Oエナジーグループ
166A,G: タスキホールディングス
167A,P: リョーサン菱洋ホールディングス
168A,G: イタミアート
1711,S: SDSホールディングス
1712,S: ダイセキ環境ソリューション
1716,S: 第一カッター興業
1717,S: 明豊ファシリティワークス
1718,S: 美樹工業
1719,P: 安藤・間
1720,P: 東急建設
1721,P: コムシスホールディングス
1723,S: 日本電技
1724,S: シンクレイヤ
1726,P: ビーアールホールディングス
1730,S: 麻生フオームクリート
1736,S: オーテック
173A,G: ハンモック
1743,S: コーアツ工業
1757,S: 創建エース
1758,S: 太洋基礎工業
175A,G: Will Smart
1762,P: 高松コンストラクショングループ
1764,S: 工藤建設
1766,P: 東建コーポレーション
1768,S: ソネック
176A,G: レジル
1770,S: 藤田エンジニアリング
1776,S: 三井住建道路
177A,G: コージンバイオ
1780,P: ヤマウラ
1783,S: fantasista
1786,P: オリエンタル白石
1787,S: ナカボーテック
1788,S: 三東工業社
1793,S: 大本組
1795,S: マサル
1798,S: 守谷商会
1799,S: 第一建設工業
1801,P: 大成建設
1802,P: 大林組
1803,P: 清水建設
1807,S: 佐藤渡辺
1808,P: 長谷工コーポレーション
1810,S: 松井建設
1811,S: 錢高組
1812,P: 鹿島建設
1813,P: 不動テトラ
1814,P: 大末建設
1815,P: 鉄建建設
1820,P: 西松建設
1821,P: 三井住友建設
1822,S: 大豊建設
1826,S: 佐田建設
1827,S: ナカノフドー建設
1828,S: 田辺工業
1833,P: 奥村組
1835,P: 東鉄工業
1840,S: 土屋ホールディングス
1841,S: サンユー建設
1844,S: 大盛工業
1847,S: イチケン
1848,S: 富士ピー・エス
184A,G: 学びエイド
1850,S: 南海辰村建設
1852,P: 淺沼組
1853,S: 森組
1860,P: 戸田建設
1861,P: 熊谷組
1866,S: 北野建設
1867,S: 植木組
186A,G: アストロスケールホールディングス
1870,P: 矢作建設工業
1871,P: ピーエス・コンストラクション
1873,P: 日本ハウスホールディングス
1878,P: 大東建託
1879,P: 新日本建設
1882,P: 東亜道路工業
1884,P: 日本道路
1885,P: 東亜建設工業
1887,P: 日本国土開発
1888,P: 若築建設
1890,P: 東洋建設
1893,P: 五洋建設
1897,S: 金下建設
1898,P: 世紀東急工業
1899,P: 福田組
189A,G: D＆Mカンパニー
1904,S: 大成温調
1905,S: テノックス
1909,S: 日本ドライケミカル
190A,G: Chordia Therapeutics
1911,P: 住友林業
1914,S: 日本基礎技術
1921,S: 巴コーポレーション
1925,P: 大和ハウス工業
1926,P: ライト工業
1928,P: 積水ハウス
1929,P: 日特建設
192A,G: インテグループ
1930,P: 北陸電気工事
1934,P: ユアテック
1938,P: 日本リーテック
1939,P: 四電工
1941,P: 中電工
1942,P: 関電工
1944,P: きんでん
1945,P: 東京エネシス
1946,P: トーエネック
1948,S: 弘電社
1949,P: 住友電設
194A,G: WOLVES HAND
1950,P: 日本電設工業
1951,P: エクシオグループ
1952,P: 新日本空調
1959,P: 九電工
195A,G: ライスカレー
1960,S: サンテック
1961,P: 三機工業
1963,P: 日揮ホールディングス
1964,P: 中外炉工業
1965,S: テクノ菱和
1966,S: 高田工業所
1967,S: ヤマト
